id,primary_name,names_sindarin,names_quenya,names_other_languages,race,ancestors,descendants,spouse,alliances,origin_country,birth_place,birth_time,age,death_place,death_time,death_mode,titles,occupations,battles,era,sources
546,Orc Warband Guard,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Guard","Warrior","War of the Ring","Third Age","LOTR"
547,Orc Warband Ensnarer,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Ensnarer","Hunter","War of the Ring","Third Age","LOTR"
548,Orc Warband Trapper,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Trapper","Hunter","War of the Ring","Third Age","LOTR"
549,Orc Warband Net-thrower,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Net-thrower","Hunter","War of the Ring","Third Age","LOTR"
550,Orc Warband Beast-scout,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Beast-scout","Scout","War of the Ring","Third Age","LOTR"
551,Orc Warband Beast-rider,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Beast-rider","Warrior","War of the Ring","Third Age","LOTR"
552,Orc Warband Beast-captain,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Beast-captain","Warrior","War of the Ring","Third Age","LOTR"
553,Orc Warband Fire-breacher,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Fire-breacher","Saboteur","War of the Ring","Third Age","LOTR"
554,Orc Warband Wall-breaker,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Wall-breaker","Siege-worker","Siege of Gondor","Third Age","LOTR"
555,Orc Warband Gate-rammer,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Gate-rammer","Siege-worker","Siege of Gondor","Third Age","LOTR"
556,Orc Warband Boulder-hauler,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Boulder-hauler","Siege-worker","Siege of Gondor","Third Age","LOTR"
557,Orc Warband Siege-runner,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Siege-runner","Siege-worker","Siege of Gondor","Third Age","LOTR"
558,Orc Warband Siege-guard,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Siege-guard","Warrior","Siege of Gondor","Third Age","LOTR"
559,Orc Warband Siege-captain,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Siege-captain","Commander","Siege of Gondor","Third Age","LOTR"
560,Orc Warband Siege-lieutenant,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Lieutenant","Commander","Siege of Gondor","Third Age","LOTR"
561,Orc Warband Siege-mason,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Mason","Siege-worker","Siege of Gondor","Third Age","LOTR"
562,Orc Warband Siege-builder,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Builder","Siege-worker","Siege of Gondor","Third Age","LOTR"
563,Orc Warband Siege-hauler,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Hauler","Siege-worker","Siege of Gondor","Third Age","LOTR"
564,Orc Warband Siege-pusher,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Pusher","Siege-worker","Siege of Gondor","Third Age","LOTR"
565,Orc Warband Siege-bearer,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Bearer","Siege-worker","Siege of Gondor","Third Age","LOTR"
566,Orc Warband Siege-torchman,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Torchman","Saboteur","Siege of Gondor","Third Age","LOTR"
567,Orc Warband Siege-sapper,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Sapper","Saboteur","Siege of Gondor","Third Age","LOTR"
568,Orc Warband Siege-demolisher,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Demolisher","Saboteur","Siege of Gondor","Third Age","LOTR"
569,Orc Warband Siege-breacher,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Breacher","Saboteur","Siege of Gondor","Third Age","LOTR"
570,Orc Warband Siege-screamer,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Screamer","Signal-officer","Siege of Gondor","Third Age","LOTR"
571,Orc Warband Siege-signalman,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Signalman","Signal-officer","Siege of Gondor","Third Age","LOTR"
572,Orc Warband Siege-overseer,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Overseer","Commander","Siege of Gondor","Third Age","LOTR"
573,Orc Warband Siege-chief,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Chief","Commander","Siege of Gondor","Third Age","LOTR"
574,Orc Warband Siege-watcher,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Watcher","Scout","Siege of Gondor","Third Age","LOTR"
575,Orc Warband Siege-scout,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Scout","Scout","Siege of Gondor","Third Age","LOTR"
576,Orc Warband Siege-runner (Elite),"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Runner","Siege-worker","Siege of Gondor","Third Age","LOTR"
577,Orc Warband Siege-guard (Elite),"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Guard","Warrior","Siege of Gondor","Third Age","LOTR"
578,Orc Warband Siege-breaker (Elite),"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Breaker","Warrior","Siege of Gondor","Third Age","LOTR"
579,Orc Warband Siege-lord,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Siege-lord","Commander","Siege of Gondor","Third Age","LOTR"
580,Orc Warband Siege-marshal,"","","","Orc","—","—","—","Mordor","Mordor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 3019","slain","Siege-marshal","Commander","Siege of Gondor","Third Age","LOTR"


